国家/地区,点击次数,展示,点击率,排名
中国,13,524,2.48%,9.38
美国,11,16010,0.07%,21.55
新加坡,8,613,1.31%,11.41
法国,7,542,1.29%,11.44
日本,6,360,1.67%,10.45
英国,5,2265,0.22%,26.31
印度尼西亚,5,434,1.15%,13.12
中国香港,5,244,2.05%,27.41
西班牙,4,552,0.72%,14.05
荷兰,4,274,1.46%,11.29
韩国,4,271,1.48%,12.07
印度,3,1694,0.18%,47.76
德国,3,887,0.34%,30.86
台湾,3,173,1.73%,16.32
捷克,3,104,2.88%,11.88
加拿大,2,1079,0.19%,23.29
波兰,2,228,0.88%,11.32
越南,1,432,0.23%,18.25
澳大利亚,1,424,0.24%,32.96
意大利,1,366,0.27%,14.41
马来西亚,1,237,0.42%,25.96
阿根廷,1,171,0.58%,8.33
巴基斯坦,1,152,0.66%,21.96
俄罗斯,1,143,0.7%,9.57
瑞典,1,140,0.71%,18.43
葡萄牙,1,128,0.78%,11.92
罗马尼亚,1,105,0.95%,12.49
瑞士,1,102,0.98%,10.99
新西兰,1,77,1.3%,31.53
芬兰,1,73,1.37%,11.3
希腊,1,70,1.43%,10.97
塞尔维亚,1,66,1.52%,9.09
丹麦,1,63,1.59%,14.17
爱尔兰,1,53,1.89%,15.15
肯尼亚,1,36,2.78%,13.83
柬埔寨,1,33,3.03%,12.58
爱沙尼亚,1,32,3.12%,14.88
巴西,0,814,0%,13.16
菲律宾,0,340,0%,28.16
墨西哥,0,311,0%,10.79
泰国,0,303,0%,19.31
土耳其,0,225,0%,14.14
乌克兰,0,175,0%,9.42
沙特阿拉伯,0,171,0%,20.5
哥伦比亚,0,163,0%,16.46
埃及,0,149,0%,20.19
孟加拉,0,134,0%,18.68
比利时,0,127,0%,11.85
摩洛哥,0,122,0%,17.65
厄瓜多尔,0,110,0%,15.68
阿尔及利亚,0,110,0%,17.97
秘鲁,0,106,0%,15.39
以色列,0,103,0%,26.01
尼日利亚,0,88,0%,26.88
奥地利,0,82,0%,10.95
智利,0,81,0%,11.11
挪威,0,81,0%,17.9
南非,0,69,0%,16.1
匈牙利,0,67,0%,7.97
阿拉伯联合酋长国,0,62,0%,14.6
委内瑞拉,0,61,0%,23.41
特立尼达和多巴哥,0,54,0%,17.13
伊拉克,0,51,0%,11
阿曼,0,51,0%,18.53
哈萨克斯坦,0,49,0%,8.8
多米尼加共和国,0,48,0%,8.15
斯洛伐克,0,47,0%,28.74
